primary_genre,period,Sales
History,1/1/1985,$0 
History,1/1/1986,$203 
History,1/1/1987,$0 
History,1/1/1989,$0 
History,1/1/1990,$0 
History,1/1/1991,$694 
History,1/1/1992,$0 
History,1/1/1993,$18 
History,1/1/1994,$0 
History,1/1/1995,$13 
History,1/1/1996,$141 
History,1/1/1997,$0 
History,1/1/1998,$0 
History,1/1/1999,$0 
History,1/1/2000,$0 
History,1/1/2001,$449 
History,1/1/2002,$0 
History,1/1/2004,$0 
History,1/1/2005,$653 
History,1/1/2006,$0 
History,1/1/2007,$56 
History,1/1/2008,$55 
History,1/1/2009,$214 
History,1/1/2010,$0 
History,1/1/2011,$114 
History,1/1/2012,$284 
History,1/1/2013,$25 
History,1/1/2014,$311 
History,1/1/2015,$12 
History,1/1/2016,$20 
Horror,1/1/1980,$183 
Horror,1/1/1981,$123 
Horror,1/1/1982,$256 
Horror,1/1/1983,$135 
Horror,1/1/1984,$62 
Horror,1/1/1985,$120 
Horror,1/1/1986,$385 
Horror,1/1/1987,$151 
Horror,1/1/1988,$250 
Horror,1/1/1989,$91 
Horror,1/1/1990,$17 
Horror,1/1/1991,$240 
Horror,1/1/1992,$61 
Horror,1/1/1993,$22 
Horror,1/1/1994,$259 
Horror,1/1/1995,$34 
Horror,1/1/1996,$81 
Horror,1/1/1997,$400 
Horror,1/1/1998,$441 
Horror,1/1/1999,$619 
Horror,1/1/2000,$384 
Horror,1/1/2001,$151 
Horror,1/1/2002,$627 
Horror,1/1/2003,$606 
Horror,1/1/2004,$826 
Horror,1/1/2005,$747 
Horror,1/1/2006,$735 
Horror,1/1/2007,$990 
Horror,1/1/2008,$258 
Horror,1/1/2009,$780 
Horror,1/1/2010,$790 
Horror,1/1/2011,$643 
Horror,1/1/2012,$472 
Horror,1/1/2013,$806 
Horror,1/1/2014,$951 
Horror,1/1/2015,$526 
Horror,1/1/2016,$1 
Music,1/1/1980,$115 
Music,1/1/1981,$0 
Music,1/1/1982,$22 
Music,1/1/1983,$30 
Music,1/1/1984,$25 
Music,1/1/1985,$0 
Music,1/1/1986,$0 
Music,1/1/1987,$0 
Music,1/1/1988,$3 
Music,1/1/1989,$0 
Music,1/1/1990,$11 
Music,1/1/1991,$23 
Music,1/1/1992,$353 
Music,1/1/1993,$128 
Music,1/1/1994,$0 
Music,1/1/1995,$106 
Music,1/1/1996,$5 
Music,1/1/1997,$425 
Music,1/1/1998,$30 
Music,1/1/1999,$0 
Music,1/1/2000,$0 
Music,1/1/2001,$16 
Music,1/1/2002,$0 
Music,1/1/2003,$7 
Music,1/1/2004,$231 
Music,1/1/2005,$0 
Music,1/1/2006,$148 
Music,1/1/2007,$22 
Music,1/1/2008,$150 
Music,1/1/2009,$7 
Music,1/1/2010,$0 
Music,1/1/2011,$0 
Music,1/1/2012,$143 
Music,1/1/2013,$24 
Music,1/1/2014,$68 
Music,1/1/2015,$18 
Music,1/1/2016,$0 
Mystery,1/1/1980,$19 
Mystery,1/1/1981,$0 
Mystery,1/1/1982,$0 
Mystery,1/1/1983,$0 
Mystery,1/1/1984,$48 
Mystery,1/1/1985,$4 
Mystery,1/1/1986,$4 
Mystery,1/1/1987,$25 
Mystery,1/1/1988,$14 
Mystery,1/1/1989,$0 
Mystery,1/1/1990,$1 
Mystery,1/1/1991,$28 
Mystery,1/1/1992,$0 
Mystery,1/1/1993,$10 
Mystery,1/1/1994,$16 
Mystery,1/1/1995,$13 
Mystery,1/1/1996,$0 
Mystery,1/1/1997,$91 
Mystery,1/1/1998,$237 
Mystery,1/1/1999,$834 
Mystery,1/1/2000,$39 
Mystery,1/1/2001,$137 
Mystery,1/1/2002,$282 
